donor_min	age_group_min	disease_free_min	eligible_strata_n	eligible_tissue_n	eligible_cell_type_n
20	5	0.3	36	15	5
20	5	0.4	32	14	5
20	5	0.5	30	13	5
20	5	0.6	25	11	5
20	10	0.3	21	9	4
20	10	0.4	18	8	4
20	10	0.5	18	8	4
20	10	0.6	15	8	4
20	15	0.3	11	6	4
20	15	0.4	10	6	4
20	15	0.5	10	6	4
20	15	0.6	7	6	3
25	5	0.3	36	15	5
25	5	0.4	32	14	5
25	5	0.5	30	13	5
25	5	0.6	25	11	5
25	10	0.3	21	9	4
25	10	0.4	18	8	4
25	10	0.5	18	8	4
25	10	0.6	15	8	4
25	15	0.3	11	6	4
25	15	0.4	10	6	4
25	15	0.5	10	6	4
25	15	0.6	7	6	3
30	5	0.3	36	15	5
30	5	0.4	32	14	5
30	5	0.5	30	13	5
30	5	0.6	25	11	5
30	10	0.3	21	9	4
30	10	0.4	18	8	4
30	10	0.5	18	8	4
30	10	0.6	15	8	4
30	15	0.3	11	6	4
30	15	0.4	10	6	4
30	15	0.5	10	6	4
30	15	0.6	7	6	3
35	5	0.3	36	15	5
35	5	0.4	32	14	5
35	5	0.5	30	13	5
35	5	0.6	25	11	5
35	10	0.3	21	9	4
35	10	0.4	18	8	4
35	10	0.5	18	8	4
35	10	0.6	15	8	4
35	15	0.3	11	6	4
35	15	0.4	10	6	4
35	15	0.5	10	6	4
35	15	0.6	7	6	3
40	5	0.3	33	14	5
40	5	0.4	29	13	5
40	5	0.5	27	12	5
40	5	0.6	23	11	5
40	10	0.3	20	9	4
40	10	0.4	17	8	4
40	10	0.5	17	8	4
40	10	0.6	14	8	4
40	15	0.3	11	6	4
40	15	0.4	10	6	4
40	15	0.5	10	6	4
40	15	0.6	7	6	3
