feature	coefficient_old_vs_young	abs_coefficient
dataset_id_aa32098f-f7b0-43f2-a00a-601d190aae94	3.058084475902521	3.058084475902521
dataset_id_3cb646ab-d411-4e5b-89eb-082a786c953b	2.6780062218859384	2.6780062218859384
dataset_id_47e00f43-6176-44a5-b4d1-f88a1920fcab	2.615455557266906	2.615455557266906
dataset_id_5fde5c9c-5b1e-4df5-982a-3f8e7635161f	-2.3917250516530424	2.3917250516530424
dataset_id_e522d2cd-7927-4e59-a4ed-064009569279	-2.3268100681599253	2.3268100681599253
dataset_id_46104f0b-9af5-466a-ae0f-56b8dc1969a2	-2.0960158994252223	2.0960158994252223
dataset_id_0a8e3443-c3e2-4918-84db-0495657d9175	-2.0711750251377836	2.0711750251377836
dataset_id_0c0c49a2-b96b-432f-98a4-1decf9929149	1.8360063535776059	1.8360063535776059
dataset_id_420d0f5d-b7ba-4b1e-88d0-44e9f733febd	-1.61159352180458	1.61159352180458
dataset_id_21d3e683-80a4-4d9b-bc89-ebb2df513dde	1.34647447174879	1.34647447174879
assay_10x 5' v1	0.7324488815393356	0.7324488815393356
dataset_id_242c6e7f-9016-4048-af70-d631f5eea188	-0.6140255902094552	0.6140255902094552
disease_cytomegalovirus infection	0.43119075268930496	0.43119075268930496
dataset_id_c838aec3-03ef-4398-b882-0e3912abfff0	-0.4299518137005921	0.4299518137005921
sex_male	0.3519007112469739	0.3519007112469739
assay_10x 3' v3	-0.309766957547598	0.309766957547598
disease_COVID-19	-0.2299404160154856	0.2299404160154856
dataset_id_b0e547f0-462b-4f81-b31b-5b0a5d96f537	0.22247658866921985	0.22247658866921985
assay_10x 5' v2	-0.20747522503137805	0.20747522503137805
sex_female	-0.1366940122869709	0.1366940122869709
disease_normal	0.013956362286504882	0.013956362286504882
