split	model_a	model_b	n_pairs	mean_auroc_difference_a_minus_b	sd_difference	ci95_low	ci95_high	paired_t_pvalue
dataset_holdout	TranscriptFormer_embedding_logistic	scVI_embedding_logistic	30	-0.05659458416650153	0.11547056397028956	-0.09791519480789052	-0.015273973525112554	0.011881639947175388
dataset_holdout	TranscriptFormer_embedding_logistic	metadata_confounder_logistic	30	0.07909173075603469	0.27809345523870227	-0.02042273414944172	0.1786061956615111	0.13013724182599629
dataset_holdout	scVI_embedding_logistic	metadata_confounder_logistic	30	0.13568631492253624	0.31970093612020917	0.021282804201745872	0.2500898256433266	0.02729809820989776
dataset_holdout	TranscriptFormer_mean_embedding_pseudobulk	scVI_mean_embedding_pseudobulk	30	0.09271369127479832	0.1340056515976519	0.044760384708833055	0.14066699784076359	0.0007063165282557676
disease_free_dataset_holdout	TranscriptFormer_embedding_logistic	scVI_embedding_logistic	30	0.031225788366270983	0.1579957416567922	-0.025312261674582386	0.08776383840712434	0.2879487406158148
disease_free_dataset_holdout	TranscriptFormer_embedding_logistic	metadata_confounder_logistic	30	0.2533119826552889	0.24533690634816332	0.1655192982289469	0.34110466708163095	4.116682931385894e-06
disease_free_dataset_holdout	scVI_embedding_logistic	metadata_confounder_logistic	30	0.22208619428901788	0.27378073285731136	0.124115017267471	0.3200573713105648	0.00011883458888171395
disease_free_dataset_holdout	TranscriptFormer_mean_embedding_pseudobulk	scVI_mean_embedding_pseudobulk	30	0.17720573649292526	0.318104282086997	0.06337358108007587	0.29103789190577467	0.0048378275031289745
disease_free_donor_holdout	TranscriptFormer_embedding_logistic	scVI_embedding_logistic	30	0.10903168241457344	0.03287274677967717	0.0972683210548289	0.12079504377431798	2.1848505736170492e-17
disease_free_donor_holdout	TranscriptFormer_embedding_logistic	metadata_confounder_logistic	30	0.20447595577366348	0.08332798830283215	0.1746574181152048	0.23429449343212216	5.5001578394831685e-14
disease_free_donor_holdout	scVI_embedding_logistic	metadata_confounder_logistic	30	0.09544427335909007	0.08749625733157372	0.064134139785074	0.12675440693310613	1.7069961736755682e-06
disease_free_donor_holdout	TranscriptFormer_mean_embedding_pseudobulk	scVI_mean_embedding_pseudobulk	30	0.10347994381773283	0.05916116409587179	0.08230939313673134	0.12465049449873432	1.7298279654453278e-10
disease_free_random_cell	TranscriptFormer_embedding_logistic	scVI_embedding_logistic	30	0.1154370568694531	0.02603413500382779	0.10612086130505531	0.1247532524338509	8.01197754555256e-21
disease_free_random_cell	TranscriptFormer_embedding_logistic	metadata_confounder_logistic	30	0.18449910754127624	0.03276296436605187	0.17277503131371352	0.19622318376883896	1.0064516276384254e-23
disease_free_random_cell	scVI_embedding_logistic	metadata_confounder_logistic	30	0.06906205067182312	0.03327477841401249	0.05715482413937392	0.08096927720427233	3.333291953565305e-12
donor_holdout	TranscriptFormer_embedding_logistic	scVI_embedding_logistic	30	0.03005655983539318	0.041767351002148206	0.015110305232132961	0.045002814438653393	0.00046881755681469186
donor_holdout	TranscriptFormer_embedding_logistic	metadata_confounder_logistic	30	-0.0038695025255330823	0.07107214294318205	-0.029302342247005196	0.02156333719593903	0.7676721518987988
donor_holdout	scVI_embedding_logistic	metadata_confounder_logistic	30	-0.03392606236092626	0.07588746003771811	-0.06108204117462056	-0.006770083547231964	0.020623004113395425
donor_holdout	TranscriptFormer_mean_embedding_pseudobulk	scVI_mean_embedding_pseudobulk	30	0.09201121018139666	0.06741799763082751	0.06788598956636373	0.11613643079642959	3.075463104422554e-08
random_cell	TranscriptFormer_embedding_logistic	scVI_embedding_logistic	30	0.04132581280536158	0.019792707780126994	0.03424308328884299	0.04840854232188017	2.890551568060779e-12
random_cell	TranscriptFormer_embedding_logistic	metadata_confounder_logistic	30	-0.01997224567058041	0.02523775437698428	-0.02900346008763911	-0.010941031253521711	0.00016027256985664214
random_cell	scVI_embedding_logistic	metadata_confounder_logistic	30	-0.06129805847594198	0.02997404649148169	-0.07202413325929614	-0.05057198369258782	4.738996662276415e-12
