model	split	requested_cells_per_donor	auroc_mean	auroc_sd	n
TranscriptFormer_mean_embedding_pseudobulk	disease_free_donor_holdout	1	0.7086332240545131	0.06121887707157911	30
TranscriptFormer_mean_embedding_pseudobulk	disease_free_donor_holdout	2	0.7520257131848717	0.0531757583231254	30
TranscriptFormer_mean_embedding_pseudobulk	disease_free_donor_holdout	4	0.8078648489222058	0.050565473771685285	30
TranscriptFormer_mean_embedding_pseudobulk	disease_free_donor_holdout	8	0.8632334594283732	0.04740294308598458	30
TranscriptFormer_mean_embedding_pseudobulk	disease_free_donor_holdout	16	0.8632334594283732	0.04740294308598458	30
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1	0.6708270805970642	0.06539667520737791	30
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	2	0.7378634274323898	0.06943148517167196	30
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	4	0.8108784968985262	0.06105405189188976	30
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	8	0.8553621727873574	0.051903120842280055	30
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	16	0.8553621727873574	0.051903120842280055	30
scVI_mean_embedding_pseudobulk	disease_free_donor_holdout	1	0.6065179841129339	0.11434558608956087	30
scVI_mean_embedding_pseudobulk	disease_free_donor_holdout	2	0.6571270172252247	0.07464786762305008	30
scVI_mean_embedding_pseudobulk	disease_free_donor_holdout	4	0.7195876814694072	0.06918371532939636	30
scVI_mean_embedding_pseudobulk	disease_free_donor_holdout	8	0.7911265580638328	0.056096697913355434	30
scVI_mean_embedding_pseudobulk	disease_free_donor_holdout	16	0.7911265580638328	0.056096697913355434	30
scVI_mean_embedding_pseudobulk	donor_holdout	1	0.6008173164783016	0.09086530347061494	30
scVI_mean_embedding_pseudobulk	donor_holdout	2	0.6476663032344027	0.08269041718595087	30
scVI_mean_embedding_pseudobulk	donor_holdout	4	0.7010720576846521	0.08662119687884218	30
scVI_mean_embedding_pseudobulk	donor_holdout	8	0.7633509626059607	0.07288456805208596	30
scVI_mean_embedding_pseudobulk	donor_holdout	16	0.7633509626059607	0.07288456805208596	30
